Source Airport Code,Destination Airport Code,Weight
BRI,TRN,865.1987262753768
BRI,CTA,433.534472488611
BRI,CAG,687.0840989706791
BRI,BLQ,584.3152972282111
BRI,MLA,619.8976326541331
BRI,STN,1732.3024970644867
BRI,PMO,455.1334504007912
BRI,LIN,771.5439213558061
BRI,STR,1027.1732075929074
BRI,PSA,594.2278239039928
BRI,PRG,1015.1580765139354
BRI,FKB,1088.5953969412517
BRI,FLR,543.7028140498979
BRI,VLC,1470.920725991965
BRI,CRL,1405.0244661139377
BRI,TIA,249.23800526600442
BRI,GOA,741.6447802244182
BRI,VRN,670.5426652745621
BRI,TRS,584.8406694075512
BRI,HHN,1225.3635949121394
CDG,FLR,879.3461591198119
CDG,DTW,6359.06693892667
CDG,MRS,652.818945457021
CDG,SVO,2453.629846223242
CDG,ATH,2108.6522685329337
CDG,CPH,1003.7004843781735
CDG,ORD,6664.207933200134
CDG,NDJ,4259.114025393897
CDG,ZAG,1079.1129216945128
CDG,SAW,2275.433462786327
CDG,MAN,587.9957804535574
CDG,AGA,2310.0375823805625
CDG,AGP,1485.8180666878945
CDG,JIB,5591.558445073076
CDG,NAP,1289.6058099568634
CDG,KEF,2241.077356760821
CDG,ATL,7055.726461394292
CDG,LAX,9102.505751277082
CDG,MIA,7371.472005406233
CDG,BEG,1423.2435779713392
CDG,SGN,10104.878813393463
CDG,LIS,1469.9641325155915
CDG,PUJ,7078.8467907195745
CDG,STR,489.33278611899567
CDG,VGO,1148.5488130577098
CDG,MCT,5578.398002773583
CDG,JER,346.0428156264916
CDG,IAH,8071.34622400791
CDG,MAD,1064.5128905341435
CDG,CMN,1931.5200360505548
CDG,TPE,9785.689389105033
CDG,GOT,1156.162572655249
CDG,BOM,6993.62626021332
CDG,MUC,681.5692457340268
CDG,SFO,8962.21027631426
CDG,CCS,7632.500970383622
CDG,YUL,5523.481301340166
CDG,EVN,3409.617750255322
CDG,SLC,8153.19583336339
CDG,TLS,605.5086585177097
CDG,ALG,1371.1796816971148
CDG,BOS,5534.267913355654
CDG,YYZ,6019.848937609369
CDG,WAW,1342.4931132990664
CDG,GOA,700.5000231458441
CDG,EXT,468.12209076196683
CDG,MPL,614.1617706173765
CDG,DUS,392.7706415802188
CDG,HKG,9590.058175699625
CDG,CMB,8482.827803484377
CDG,PRG,852.371011236048
CDG,VDA,3452.7733448749113
CDG,VNO,1673.6496689652995
CDG,GYD,3803.2763785064312
CDG,TNR,8748.292769750607
CDG,AJA,926.1702141831133
CDG,BVC,4320.263832206523
CDG,BES,514.7632437133877
CDG,FCO,1100.6939894699065
CDG,RIX,1672.0898429327674
CDG,OTP,1850.133018595394
CDG,TLV,3284.2243078837478
CDG,SEA,8049.155041064258
CDG,LGW,307.5397753829144
CDG,BHX,487.576899489749
CDG,HAJ,631.2935075126253
CDG,EDI,868.6771367315874
CDG,TXL,850.4976139039985
CDG,KRK,1246.2887590278558
CDG,MEX,9198.920117556323
CDG,VIE,1035.0912783107904
CDG,PEK,8188.74570714879
CDG,SVX,3877.009733233952
CDG,ARN,1539.1558008984587
CDG,BIA,896.457767341428
CDG,NRT,9709.92891058401
CDG,LBV,5438.805319570233
CDG,TAS,5133.415141849228
CDG,SVG,1114.9719871763407
CDG,BSL,400.74152414371207
CDG,JFK,5833.649776425998
CDG,BRU,251.47977720714127
CDG,MIR,1618.2954862139397
CDG,ABV,4470.13001286094
CDG,HEL,1895.5584206342198
CDG,GRU,9405.197741013082
CDG,VRN,746.7293565848438
CDG,PMO,1470.934626609235
